EUM,TIPO,SUBTIPO,CUENCA,REGIÓN,PROVINCIA,DISTRITO,Latitud,Longitud,CÓDIGO DERECHO MINERO,NOMBRE DERECHO MINERO,NOMBRE TITULAR,GENERADOR,RESPONSABLE,ESTUDIO AMBIENTAL,Puntaje,Riesgo
LANACHONTA,LABOR MINERA,BOCAMINA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09716038,-76.84379241,"10086511, 10380796, 10130611, 07002600X01, 07002569X01, 10145111, 10104311, 10147311","CHONTALA 1, HILARION 67, CHONTITA, LANACHONTA-I, MINA SAN HILARION, MINORVA 2011-4, TOMEN DOS, YANAHUANCA 2011","FRESNILLO PERU S.A.C., COMPAÑÍA MINERA MILPO S.A.A., LLANOS CREDY, ALBERTO ELIODORO, MINERA SOLITARIO PERU S.A.C., S.M.R.L. SAN HILARION DE HUANUCO, MINERA ORO VEGA S.A.C., TORREBLANCA BENAVENTE, GODOFREDO, COMPAÑÍA MINERA ARES S.A.C.",NO IDENTIFICADO,---,---,43,3
LANACHONTA,LABOR MINERA,BOCAMINA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09450728,-76.84618568,"10086511, 10380796, 10130611, 07002600X01, 07002569X01, 10145111, 10104311, 10147311","CHONTALA 1, HILARION 67, CHONTITA, LANACHONTA-I, MINA SAN HILARION, MINORVA 2011-4, TOMEN DOS, YANAHUANCA 2011","FRESNILLO PERU S.A.C., COMPAÑÍA MINERA MILPO S.A.A., LLANOS CREDY, ALBERTO ELIODORO, MINERA SOLITARIO PERU S.A.C., S.M.R.L. SAN HILARION DE HUANUCO, MINERA ORO VEGA S.A.C., TORREBLANCA BENAVENTE, GODOFREDO, COMPAÑÍA MINERA ARES S.A.C.",NO IDENTIFICADO,---,---,47,3
LANACHONTA,LABOR MINERA,BOCAMINA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09568791,-76.84360157,"10086511, 10380796, 10130611, 07002600X01, 07002569X01, 10145111, 10104311, 10147311","CHONTALA 1, HILARION 67, CHONTITA, LANACHONTA-I, MINA SAN HILARION, MINORVA 2011-4, TOMEN DOS, YANAHUANCA 2011","FRESNILLO PERU S.A.C., COMPAÑÍA MINERA MILPO S.A.A., LLANOS CREDY, ALBERTO ELIODORO, MINERA SOLITARIO PERU S.A.C., S.M.R.L. SAN HILARION DE HUANUCO, MINERA ORO VEGA S.A.C., TORREBLANCA BENAVENTE, GODOFREDO, COMPAÑÍA MINERA ARES S.A.C.",NO IDENTIFICADO,---,---,47,3
LANACHONTA,LABOR MINERA,TAJEO COMUNICADO,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09448103,-76.84603044,10086511,CHONTALA 1,FRESNILLO PERU S.A.C.,NO IDENTIFICADO,---,---,51,4
LANACHONTA,LABOR MINERA,BOCAMINA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09466152,-76.84608621,10086511,CHONTALA 2,FRESNILLO PERU S.A.C.,NO IDENTIFICADO,---,---,41,3
LANACHONTA,LABOR MINERA,TAJEO COMUNICADO,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09455279,-76.84613120,"10086511, 10380796, 10130611, 07002600X01, 07002569X01, 10145111, 10104311, 10147311","CHONTALA 1, HILARION 67, CHONTITA, LANACHONTA-I, MINA SAN HILARION, MINORVA 2011-4, TOMEN DOS, YANAHUANCA 2011","FRESNILLO PERU S.A.C., COMPAÑÍA MINERA MILPO S.A.A., LLANOS CREDY, ALBERTO ELIODORO, MINERA SOLITARIO PERU S.A.C., S.M.R.L. SAN HILARION DE HUANUCO, MINERA ORO VEGA S.A.C., TORREBLANCA BENAVENTE, GODOFREDO, COMPAÑÍA MINERA ARES S.A.C.",NO IDENTIFICADO,---,---,41,3
LANACHONTA,LABOR MINERA,PIQUE,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09990769,-76.84071542,"10086511, 10380796, 10130611, 07002600X01, 07002569X01, 10145111, 10104311, 10147311","CHONTALA 1, HILARION 67, CHONTITA, LANACHONTA-I, MINA SAN HILARION, MINORVA 2011-4, TOMEN DOS, YANAHUANCA 2011","FRESNILLO PERU S.A.C., COMPAÑÍA MINERA MILPO S.A.A., LLANOS CREDY, ALBERTO ELIODORO, MINERA SOLITARIO PERU S.A.C., S.M.R.L. SAN HILARION DE HUANUCO, MINERA ORO VEGA S.A.C., TORREBLANCA BENAVENTE, GODOFREDO, COMPAÑÍA MINERA ARES S.A.C.",NO IDENTIFICADO,---,---,41,3
LANACHONTA,LABOR MINERA,CHIMENEA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09490605,-76.84439079,"10086511, 10380796, 10130611, 07002600X01, 07002569X01, 10145111, 10104311, 10147311","CHONTALA 1, HILARION 67, CHONTITA, LANACHONTA-I, MINA SAN HILARION, MINORVA 2011-4, TOMEN DOS, YANAHUANCA 2011","FRESNILLO PERU S.A.C., COMPAÑÍA MINERA MILPO S.A.A., LLANOS CREDY, ALBERTO ELIODORO, MINERA SOLITARIO PERU S.A.C., S.M.R.L. SAN HILARION DE HUANUCO, MINERA ORO VEGA S.A.C., TORREBLANCA BENAVENTE, GODOFREDO, COMPAÑÍA MINERA ARES S.A.C.",NO IDENTIFICADO,---,---,47,3
LANACHONTA,LABOR MINERA,MEDIA BARRETA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09615921,-76.84500002,"10086511, 10380796, 10130611, 07002600X01, 07002569X01, 10145111, 10104311, 10147311","CHONTALA 1, HILARION 67, CHONTITA, LANACHONTA-I, MINA SAN HILARION, MINORVA 2011-4, TOMEN DOS, YANAHUANCA 2011","FRESNILLO PERU S.A.C., COMPAÑÍA MINERA MILPO S.A.A., LLANOS CREDY, ALBERTO ELIODORO, MINERA SOLITARIO PERU S.A.C., S.M.R.L. SAN HILARION DE HUANUCO, MINERA ORO VEGA S.A.C., TORREBLANCA BENAVENTE, GODOFREDO, COMPAÑÍA MINERA ARES S.A.C.",NO IDENTIFICADO,---,---,41,3
LANACHONTA,LABOR MINERA,CHIMENEA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09450845,-76.84597586,"10086511, 10380796, 10130611, 07002600X01, 07002569X01, 10145111, 10104311, 10147311","CHONTALA 1, HILARION 67, CHONTITA, LANACHONTA-I, MINA SAN HILARION, MINORVA 2011-4, TOMEN DOS, YANAHUANCA 2011","FRESNILLO PERU S.A.C., COMPAÑÍA MINERA MILPO S.A.A., LLANOS CREDY, ALBERTO ELIODORO, MINERA SOLITARIO PERU S.A.C., S.M.R.L. SAN HILARION DE HUANUCO, MINERA ORO VEGA S.A.C., TORREBLANCA BENAVENTE, GODOFREDO, COMPAÑÍA MINERA ARES S.A.C.",NO IDENTIFICADO,---,---,41,3
LANACHONTA,LABOR MINERA,CHIMENEA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09446290,-76.84603946,"10086511, 10380796, 10130611, 07002600X01, 07002569X01, 10145111, 10104311, 10147311","CHONTALA 1, HILARION 67, CHONTITA, LANACHONTA-I, MINA SAN HILARION, MINORVA 2011-4, TOMEN DOS, YANAHUANCA 2011","FRESNILLO PERU S.A.C., COMPAÑÍA MINERA MILPO S.A.A., LLANOS CREDY, ALBERTO ELIODORO, MINERA SOLITARIO PERU S.A.C., S.M.R.L. SAN HILARION DE HUANUCO, MINERA ORO VEGA S.A.C., TORREBLANCA BENAVENTE, GODOFREDO, COMPAÑÍA MINERA ARES S.A.C.",NO IDENTIFICADO,---,---,41,3
LANACHONTA,LABOR MINERA,PIQUE,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09502146,-76.84315076,10086511,CHONTALA 1,FRESNILLO PERU S.A.C.,NO IDENTIFICADO,---,---,47,3
LANACHONTA,LABOR MINERA,PIQUE,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09702631,-76.84351796,"10086511, 10380796, 10130611, 07002600X01, 07002569X01, 10145111, 10104311, 10147311","CHONTALA 1, HILARION 67, CHONTITA, LANACHONTA-I, MINA SAN HILARION, MINORVA 2011-4, TOMEN DOS, YANAHUANCA 2011","FRESNILLO PERU S.A.C., COMPAÑÍA MINERA MILPO S.A.A., LLANOS CREDY, ALBERTO ELIODORO, MINERA SOLITARIO PERU S.A.C., S.M.R.L. SAN HILARION DE HUANUCO, MINERA ORO VEGA S.A.C., TORREBLANCA BENAVENTE, GODOFREDO, COMPAÑÍA MINERA ARES S.A.C.",NO IDENTIFICADO,---,---,55,4
